"","rowname","error"
"1","ErrorMessage","NAs introduced by coercion"
"2","ErrorType","warning"
"3","ErrorMessage3","argument ""qr"" is missing, with no default"
"4","ErrorType3","error"
"5","ErrorMessage5","argument is not a QR decomposition"
"6","ErrorMessage13","no applicable method for 'quarters' applied to an object of class ""name"""
"7","ErrorMessage14","no applicable method for 'quarters' applied to an object of class ""c('double', 'numeric')"""
"8","ErrorMessage18","no applicable method for 'quarters' applied to an object of class ""data.frame"""
"9","ErrorMessage19","no applicable method for 'quarters' applied to an object of class ""character"""
"10","ErrorMessage20","argument ""x"" is missing, with no default"
"11","ErrorMessage22","'origin' must be supplied"
"12","ErrorMessage23","do not know how to convert 'x' to class “POSIXlt”"
"13","ErrorMessage24","character string is not in a standard unambiguous format"
"14","ErrorMessage30","one of ""yes"", ""no"", ""ask"" or ""default"" expected."
"15","ErrorMessage38","unrecognized value of 'save'"
"16","ErrorMessage41","invalid version specification ‘-1’, ‘0’, ‘1’, ‘-Inf’, ‘NaN’, ‘Inf’"
"17","ErrorMessage42","'length(x) = 6 > 1' in coercion to 'logical(1)'"
"18","ErrorMessage43","invalid 'y' type in 'x && y'"
"19","ErrorMessage47","EXPR must be a length 1 vector"
"20","ErrorMessage49","could not find function ""R.version"""
"21","ErrorMessage50","unused argument (x)"
"22","ErrorMessage51","unused argument (df)"
"23","ErrorMessage52","unused argument (""df"")"
"24","ErrorMessage53","could not find function ""R.version.string"""
"25","ErrorMessage54","'...' used in an incorrect context"
"26","ErrorMessage55","argument 1 is empty"
"27","ErrorMessage56","no non-missing arguments to min; returning Inf"
"28","ErrorMessage61","the condition has length > 1"
"29","ErrorMessage63","argument is not interpretable as logical"
"30","ErrorMessage68","length(na.last) == 1L is not TRUE"
"31","ErrorMessage73","'arg' should be one of “average”, “first”, “last”, “random”, “max”, “min”"
"32","ErrorMessage77","argument ""object"" is missing, with no default"
"33","ErrorMessage78","argument ""f"" is missing, with no default"
"34","ErrorMessage79","'object' must be a list or expression"
"35","ErrorMessage82","'arg' must be NULL or a character vector"
"36","ErrorMessage84","'arg' should be one of “unlist”, “replace”, “list”"
"37","ErrorMessage93","invalid 'length' argument"
"38","ErrorMessage96","unused arguments (alist(con = , blocking = , encoding = , text = , raw = , local = ))"
"39","ErrorMessage98","invalid 'raw' argument"
"40","ErrorMessage99","invalid 'open' argument"
"41","ErrorMessage102","unused argument (alist(blocking = ))"
"42","ErrorMessage107","unused arguments (alist(blocking = , encoding = ))"
"43","ErrorMessage112","unused arguments (alist(blocking = , encoding = , text = ))"
"44","ErrorMessage117","argument ""con"" is missing, with no default"
"45","ErrorMessage118","'con' is not a rawConnection"
"46","ErrorMessage121","unused argument (alist(con = ))"
"47","ErrorMessage123","argument ""n"" is missing, with no default"
"48","ErrorMessage124","argument 'x' must be a raw vector"
"49","ErrorMessage145","is.matrix(x) is not TRUE"
"50","ErrorMessage151","'arg' should be one of “O”, “I”, “1”"
"51","ErrorMessage156","supplied argument name 'x' does not match 'z'"
"52","ErrorMessage159","unused arguments (alist(sub = , encoding = ))"
"53","ErrorMessage160","argument ""file"" is missing, with no default"
"54","ErrorMessage161","'file' must be a character string or connection"
"55","ErrorMessage172","invalid argument type"
"56","ErrorMessage174","argument ""what"" is missing, with no default"
