"","rowname","error"
"1","ErrorMessage","mat.regress has been replaced by setCor, please change your call
"
"2","ErrorType","message"
"3","ErrorMessage13","could not find function ""mat.sort"""
"4","ErrorType13","error"
"5","ErrorMessage14","argument ""m"" is missing, with no default"
"6","ErrorMessage15","supply both 'x' and 'y' or a matrix-like 'x'"
"7","ErrorMessage16","'x' must be atomic"
"8","ErrorMessage17","incorrect number of dimensions"
"9","ErrorMessage18","non-numeric argument to mathematical function"
"10","ErrorMessage21","could not find function ""matPlot"""
"11","ErrorMessage22","argument ""x"" is missing, with no default"
"12","ErrorMessage23","attempt to set 'rownames' on an object with no dimensions"
"13","ErrorMessage25","the condition has length > 1"
"14","ErrorMessage45","could not find function ""matReg"""
"15","ErrorMessage47","argument ""y"" is missing, with no default"
"16","ErrorMessage48","argument ""C"" is missing, with no default"
"17","ErrorMessage49","'V' is not a square numeric matrix"
"18","ErrorMessage52","could not find function ""matSort"""
"19","ErrorMessage60","could not find function ""mediate"""
"20","ErrorMessage62","argument ""data"" is missing, with no default"
"21","ErrorMessage65","argument is of length zero"
"22","ErrorMessage67","I am stopping because the variable names are incorrect.  See above."
"23","ErrorMessage95","could not find function ""mediate.diagram"""
"24","ErrorMessage96","argument ""medi"" is missing, with no default"
"25","ErrorMessage97","$ operator is invalid for atomic vectors"
"26","ErrorMessage117","'data' must be of a vector type, was 'NULL'"
"27","ErrorMessage118","could not find function ""minkowski"""
"28","ErrorMessage119","longer object length is not a multiple of shorter object length"
"29","ErrorType119","warning"
"30","ErrorMessage127","non-numeric argument to binary operator"
"31","ErrorMessage134","could not find function ""mixed.cor"""
"32","ErrorMessage136","non-numeric matrix extent"
"33","ErrorMessage168","undefined columns selected"
"34","ErrorMessage170","could not find function ""mixedCor"""
"35","ErrorMessage201","could not find function ""mlArrange"""
"36","ErrorMessage203","arguments must have same length"
"37","ErrorMessage204","only 0's may be mixed with negative subscripts"
"38","ErrorMessage206","no non-missing arguments to min; returning Inf"
"39","ErrorMessage214","invalid subscript type 'list'"
"40","ErrorMessage217","argument of length 0"
"41","ErrorMessage218","could not find function ""mlPlot"""
"42","ErrorMessage244","could not find function ""mlr"""
"43","ErrorMessage269","invalid argument type"
"44","ErrorMessage270","argument is not interpretable as logical"
"45","ErrorMessage285","only defined on a data frame with all numeric-alike variables"
