"","rowname","error"
"1","ErrorMessage","object '.Generic' not found"
"2","ErrorType","error"
"3","ErrorMessage2","'...' used in an incorrect context"
"4","ErrorMessage8","argument ""object"" is missing, with no default"
"5","ErrorMessage9","'origin' must be supplied"
"6","ErrorMessage13","do not know how to convert 'object' to class “POSIXct”"
"7","ErrorMessage14","character string is not in a standard unambiguous format"
"8","ErrorMessage22","undefined columns selected"
"9","ErrorMessage25","$ operator is invalid for atomic vectors"
"10","ErrorMessage26","invalid 'path' argument"
"11","ErrorMessage32","'object' must inherit from class “table”"
"12","ErrorMessage38","argument ""expr"" is missing, with no default"
"13","ErrorMessage46","argument ""x"" is missing, with no default"
"14","ErrorMessage47","infinite or missing values in 'x'"
"15","ErrorMessage50","the LINPACK argument has been defunct since R 3.1.0"
"16","ErrorMessage61","argument ""MARGIN"" is missing, with no default"
"17","ErrorMessage62","argument ""STATS"" is missing, with no default"
"18","ErrorMessage63","STATS is longer than the extent of 'dim(x)[MARGIN]'"
"19","ErrorType63","warning"
"20","ErrorMessage64","object 'x' of mode 'function' was not found"
"21","ErrorMessage68","argument is not interpretable as logical"
"22","ErrorMessage73","'x' must have named dimnames"
"23","ErrorMessage76","supplied argument name 'expr' does not match 'EXPR'"
"24","ErrorMessage77","argument is missing, with no default"
"25","ErrorMessage78","EXPR must be a length 1 vector"
"26","ErrorMessage80","'switch' with no alternatives"
"27","ErrorMessage81","invalid 'which' argument"
"28","ErrorMessage82","NAs introduced by coercion"
"29","ErrorMessage83","unused argument (x)"
"30","ErrorMessage84","unused argument (df)"
"31","ErrorMessage85","unused argument (""df"")"
"32","ErrorMessage86","unused argument (alist(file = ))"
"33","ErrorMessage87","unused argument (file = x)"
"34","ErrorMessage94","unused argument (file = df)"
"35","ErrorMessage95","unused argument (file = ""df"")"
"36","ErrorMessage104","invalid 'which' value"
"37","ErrorMessage106","the condition has length > 1"
"38","ErrorMessage108","invalid 'category' argument"
"39","ErrorMessage112","unused arguments (alist(pattern = , recursive = , full.names = ))"
"40","ErrorMessage113","argument ""paths"" is missing, with no default"
"41","ErrorMessage119","invalid 'dirmark' argument"
"42","ErrorMessage124","argument ""name"" is missing, with no default"
"43","ErrorMessage125","invalid 'file' argument"
"44","ErrorMessage130","empty (zero-byte) input file"
"45","ErrorMessage137","unused arguments (alist(expr = , add = ))"
"46","ErrorMessage141","unused arguments (alist(expr = x, add = ))"
"47","ErrorMessage142","unused arguments (expr = x, add = x)"
"48","ErrorMessage143","unused arguments (expr = x, add = df)"
"49","ErrorMessage144","unused arguments (expr = x, add = ""df"")"
"50","ErrorMessage145","unused arguments (expr = df, add = ""df"")"
"51","ErrorMessage146","unused arguments (expr = ""df"", add = ""df"")"
"52","ErrorMessage147","unused argument (alist(which = ))"
"53","ErrorMessage148","invalid 'n' argument"
"54","ErrorMessage150","unused argument (which = x)"
"55","ErrorMessage151","unused argument (which = df)"
"56","ErrorMessage152","unused argument (which = ""df"")"
"57","ErrorMessage158","invalid 'paths' argument"
"58","ErrorMessage162","'file' must be non-empty string"
"59","ErrorMessage165","all arguments must be named"
"60","ErrorMessage169","unused argument (alist(times = ))"
"61","ErrorMessage170","argument ""path"" is missing, with no default"
"62","ErrorMessage173","unused argument (times = x)"
"63","ErrorMessage174","unused argument (times = df)"
"64","ErrorMessage175","unused argument (times = ""df"")"
"65","ErrorMessage187","unused argument (alist(secs = ))"
"66","ErrorMessage188","argument ""time"" is missing, with no default"
"67","ErrorMessage189","unused argument (secs = x)"
"68","ErrorMessage190","unused argument (secs = df)"
"69","ErrorMessage191","unused argument (secs = ""df"")"
"70","ErrorMessage193","argument ""file"" is missing, with no default"
"71","ErrorMessage194","'-1' is not an existing file'0' is not an existing file'1' is not an existing file'-Inf' is not an existing file'NaN' is not an existing file'Inf' is not an existing file"
"72","ErrorMessage208","'1:10' is not an existing file'11:20' is not an existing file"
"73","ErrorMessage209","missing value where TRUE/FALSE needed"
"74","ErrorMessage218","invalid argument type"
"75","ErrorMessage221","'x' cannot be coerced to class ""octmode"""
"76","ErrorMessage223","unused arguments (alist(all = , path = ))"
"77","ErrorMessage224","argument ""names"" is missing, with no default"
"78","ErrorMessage227","argument ""command"" is missing, with no default"
"79","ErrorMessage228","non-empty character argument expected"
"80","ErrorMessage229","'intern' must be TRUE or FALSE"
"81","ErrorMessage234","arguments 'show.output.on.console', 'minimized' and 'invisible' are for Windows only
"
"82","ErrorType234","message"
"83","ErrorMessage260","unused argument (value = x)"
"84","ErrorMessage262","argument ""con"" is missing, with no default"
"85","ErrorMessage263","'con' is not a textConnection"
"86","ErrorMessage270","'length(x) = 6 > 1' in coercion to 'logical(1)'"
"87","ErrorMessage271","'length(x) = 20 > 1' in coercion to 'logical(1)'"
"88","ErrorMessage273","argument ""what"" is missing, with no default"
"89","ErrorMessage274","no function ‘-1’ found"
"90","ErrorMessage280","NAs introduced by coercion to integer range"
"91","ErrorMessage285","no item called ""df"" on the search list"
"92","ErrorMessage297","length(max.lines) <= 1 is not TRUE"
"93","ErrorMessage299","argument 1 is empty"
"94","ErrorMessage300","Value for 'tracingState' must be TRUE or FALSE"
"95","ErrorMessage303","argument ""_data"" is missing, with no default"
"96","ErrorMessage306","numeric 'envir' arg not of length one"
"97","ErrorMessage307","invalid 'envir' argument of type 'character'"
"98","ErrorMessage311","non-numeric argument to mathematical function"
"99","ErrorMessage314","'arg' must be NULL or a character vector"
"100","ErrorMessage319","'arg' should be one of “both”, “left”, “right”"
"101","ErrorMessage328","'arg' should be one of “secs”, “mins”, “hours”, “days”, “months”, “years”"
"102","ErrorMessage339","no applicable method for 'truncate' applied to an object of class ""name"""
"103","ErrorMessage341","no applicable method for 'truncate' applied to an object of class ""c('double', 'numeric')"""
"104","ErrorMessage343","no applicable method for 'truncate' applied to an object of class ""data.frame"""
"105","ErrorMessage345","no applicable method for 'truncate' applied to an object of class ""character"""
"106","ErrorMessage348","invalid connection"
"107","ErrorMessage354","argument ""r"" is missing, with no default"
"108","ErrorMessage359","argument ""fun"" is missing, with no default"
"109","ErrorMessage361","argument must be a function"
"110","ErrorMessage362","invalid first argument"
"111","ErrorMessage366","no generic function found for ‘df’"
"112","ErrorMessage368","argument ""y"" is missing, with no default"
"113","ErrorMessage369","[38;5;255m`x` and `y` are not compatible.
`y` must be a data frame.[39m"
"114","ErrorMessage372","'list' object cannot be coerced to type 'double'"
"115","ErrorMessage374","argument 'incomparables != FALSE' is not used (yet)"
"116","ErrorMessage377","MARGIN = 1 is invalid for dim = "
"117","ErrorMessage391","incorrect number of dimensions"
"118","ErrorMessage402","'nmax' must be positive"
"119","ErrorMessage404","'fromLast' must be TRUE or FALSE"
"120","ErrorMessage439","no applicable method for 'units' applied to an object of class ""name"""
"121","ErrorMessage440","no applicable method for 'units' applied to an object of class ""c('double', 'numeric')"""
"122","ErrorMessage441","no applicable method for 'units' applied to an object of class ""data.frame"""
"123","ErrorMessage442","no applicable method for 'units' applied to an object of class ""character"""
"124","ErrorMessage444","no applicable method for 'units<-' applied to an object of class ""name"""
"125","ErrorMessage445","no applicable method for 'units<-' applied to an object of class ""NULL"""
"126","ErrorMessage446","no applicable method for 'units<-' applied to an object of class ""c('double', 'numeric')"""
"127","ErrorMessage447","no applicable method for 'units<-' applied to an object of class ""data.frame"""
"128","ErrorMessage448","no applicable method for 'units<-' applied to an object of class ""character"""
"129","ErrorMessage456","unused arguments (alist(xx = , units = , cl = ))"
"130","ErrorMessage457","unused arguments (alist(xx = x, units = , cl = ))"
"131","ErrorMessage458","unused arguments (alist(xx = x, units = x, cl = ))"
"132","ErrorMessage459","unused arguments (xx = x, units = x, cl = x)"
"133","ErrorMessage460","unused arguments (xx = x, units = x, cl = df)"
"134","ErrorMessage461","unused arguments (xx = x, units = x, cl = ""df"")"
"135","ErrorMessage462","unused arguments (xx = x, units = df, cl = ""df"")"
"136","ErrorMessage463","unused arguments (xx = x, units = ""df"", cl = ""df"")"
