"","rowname","error"
"1","ErrorMessage"," '...' が不適切な文脈で使われました "
"2","ErrorType","error"
"3","ErrorMessage1"," 引数 ""x"" がありませんし、省略時既定値もありません "
"4","ErrorMessage2"," 引数 ""y"" がありませんし、省略時既定値もありません "
"5","ErrorMessage3"," 1 個の欠測値が削除されました "
"6","ErrorType3","warning"
"7","ErrorMessage5","the condition has length > 1"
"8","ErrorMessage19"," 引数 ""center"" がありませんし、省略時既定値もありません "
"9","ErrorMessage20"," 引数 ""cov"" がありませんし、省略時既定値もありません "
"10","ErrorMessage21"," 'a' (6 x 1) は正方行列である必要があります "
"11","ErrorMessage23"," STATS は 'dim(x)[MARGIN]' の大きさより長いです "
"12","ErrorMessage26"," 引数 ""link"" がありませんし、省略時既定値もありません "
"13","ErrorMessage27"," EXPR は長さ 1 のベクトルでなければなりません "
"14","ErrorMessage29"," リンク ‘df’ は利用できません "
"15","ErrorMessage31"," 引数 ""phi"" がありませんし、省略時既定値もありません "
"16","ErrorMessage32"," 'phi' 中に NA 値があります "
"17","ErrorMessage39"," 'theta' 中に NA 値があります "
"18","ErrorMessage41"," 引数 ""call"" がありませんし、省略時既定値もありません "
"19","ErrorMessage44"," 引数 ""formula"" がありませんし、省略時既定値もありません "
"20","ErrorMessage45","$ operator is invalid for atomic vectors"
"21","ErrorMessage46"," terms 要素も terms 属性もありません "
"22","ErrorMessage50"," 'x' が配列でなければ, 'y' が与えられなければなりません "
"23","ErrorMessage51"," 'x' が配列でなければ, 'z' が与えられなければなりません "
"24","ErrorMessage52"," 各層のサンプルサイズは > 1 である必要があります "
"25","ErrorMessage58"," 引数 ""object"" がありませんし、省略時既定値もありません "
"26","ErrorMessage59"," 'mauchly.test' をクラス ""c('double', 'numeric')"" のオブジェクトに適用できるようなメソッドがありません "
"27","ErrorMessage60"," 'mauchly.test' をクラス ""data.frame"" のオブジェクトに適用できるようなメソッドがありません "
"28","ErrorMessage61"," 'mauchly.test' をクラス ""character"" のオブジェクトに適用できるようなメソッドがありません "
"29","ErrorMessage64"," 'x' が行列でなければ、'y' を与えなければなりません "
"30","ErrorMessage65","'length(x) = 6 > 1' in coercion to 'logical(1)'"
"31","ErrorMessage66"," 'x' と 'y' は同じ長さでなければなりません "
"32","ErrorMessage71"," 数値データが必要です "
"33","ErrorMessage80"," TRUE/FALSE が必要なところが欠損値です "
"34","ErrorMessage82"," 数値式は 6 個の要素を持っています: 最初の要素だけが使われました "
"35","ErrorMessage87"," 引数 ""frame"" がありませんし、省略時既定値もありません "
"36","ErrorMessage88"," 添え字が許される範囲外です "
"37","ErrorMessage92"," 引数は有効なモデルではありません "
"38","ErrorMessage93"," 無効なモデル式です "
"39","ErrorMessage94","invalid formula ""df"": not a call"
"40","ErrorMessage105","'data' must be a data.frame, environment, or list"
"41","ErrorMessage130"," 引数 ""data"" がありませんし、省略時既定値もありません "
"42","ErrorMessage131"," 引数の長さが 0 です "
"43","ErrorMessage136"," 'model.tables' をクラス ""name"" のオブジェクトに適用できるようなメソッドがありません "
"44","ErrorMessage137"," 'model.tables' をクラス ""c('double', 'numeric')"" のオブジェクトに適用できるようなメソッドがありません "
"45","ErrorMessage138"," 'model.tables' をクラス ""data.frame"" のオブジェクトに適用できるようなメソッドがありません "
"46","ErrorMessage139"," 'model.tables' をクラス ""character"" のオブジェクトに適用できるようなメソッドがありません "
"47","ErrorMessage146"," 有限な 'ylim' の値が必要です "
"48","ErrorMessage147"," データの長さが分割変数の倍数ではありません "
"49","ErrorMessage148"," 引数は数値でも論理値でもありません。NA 値を返します "
"50","ErrorMessage152"," 型 'list' のデフォルトメソッドは実装されていません "
"51","ErrorMessage155"," 引数 ""z"" がありませんし、省略時既定値もありません "
"52","ErrorMessage156"," ベクトル値 (多変量) の系列が必要です "
"53","ErrorMessage164"," 不正な時系列パラメータが指定されました "
"54","ErrorMessage169"," オブジェクト中に欠損値があります "
"55","ErrorMessage183"," 引数 ""n"" がありませんし、省略時既定値もありません "
"56","ErrorMessage184","nextn<64>() found no solution < -1 = UINT64_MAX (the maximal integer)"
"57","ErrorMessage185","NAs introduced by coercion to integer range"
"58","ErrorMessage189"," 引数 ""p"" がありませんし、省略時既定値もありません "
"59","ErrorMessage191"," パラメータに欠損値があります "
"60","ErrorMessage205"," 引数 ""start"" がありませんし、省略時既定値もありません "
"61","ErrorMessage206"," 引数 ""objective"" がありませんし、省略時既定値もありません "
"62","ErrorMessage207"," 関数 ""objective"" を見つけることができませんでした "
"63","ErrorMessage211"," 引数 'control' は名前付きリストでなければなりません "
"64","ErrorMessage214","'list' object cannot be coerced to type 'double'"
"65","ErrorMessage215"," 強制変換により NA が生成されました "
"66","ErrorMessage230"," 'arg' は、NULL かひとつの文字ベクトルでなければなりません "
"67","ErrorMessage233"," length(tol) == 1L は TRUE ではありません "
"68","ErrorMessage242"," 'NLSstAsymptotic' をクラス ""name"" のオブジェクトに適用できるようなメソッドがありません "
"69","ErrorMessage243"," 'NLSstAsymptotic' をクラス ""c('double', 'numeric')"" のオブジェクトに適用できるようなメソッドがありません "
